Regions,Population вensity per km2,Total population,Total population per 1k,"Regions, rus",Share of people with higher education. 2010. %,Median salary. 2019. rubles,Unemployment rate. 2017. %,Share of poor people. 2017. %,Gross regional product per capita. 2016. rubles,Terrorist_crimes_2017,Murders and attempted murders. 2017,Criminal possesion of weapons. 2017,Fertility rate. 2017,Museum attendance. 2010. per pop,"Share of people using internet everyday, 2016, %"
Ivanovo region,46.51,997135,997.135,Ивановская область,19,23117,4.7,14.3,15043.05,0.05,0.71,1.08,1.46,0.393,43.0924
Jewish Autonomous Region,4.36,158305,158.305,Еврейская автономная область,15,34538,8.3,24.9,24333.86,0,1.58,5.48,1.81,0.288,45.8042
Kabardino-Balkar Republic,69.64,868350,868.35,Кабардино-Балкария,20,19796,10.5,24.1,13273.22,1.65,0.3,3.39,1.61,0.251,43.4017
Kaliningrad region,66.94,1012512,1012.512,Калининградская область,24,31681,5.2,14.1,33834.62,0.21,0.6,2.18,1.57,1.158,51.7943
Kalmykia Republic,3.63,271135,271.135,Калмыкия,21,21984,10,30.6,17340.71,0.11,0.83,5.65,1.54,0.162,43.8996
Kaluga region,33.67,1002575,1002.575,Калужская область,22,33385,4,10.5,31891.35,0.05,0.67,1.74,1.64,0.662,35.6553
Kamchatka Krai,0.67,313016,313.016,Камчатский край,24,62444,4.3,18.4,54050.78,0,0.89,1.43,1.78,0.33,62.7655
Karachay-Cherkess Republic,32.61,465528,465.528,Карачаево-Черкесия,23,20788,13.5,24.6,13485.99,1.22,0.64,3.49,1.43,0.056,46.1661
Karelia Republic,3.4,614064,614.064,Карелия,19,34922,8.6,17.3,31963.69,0.1,0.85,2.44,1.56,0.723,52.3734
Kemerovo region,27.77,2657854,2657.854,Кемеровская область,18,34256,7.1,15.9,27231.09,0.01,1.11,3.43,1.54,0.485,41.6581
Khabarovsk region,1.67,1315643,1315.643,Хабаровский край,24,43216,4.9,12.5,41206.81,0.05,1.23,2.48,1.64,0.345,52.0147
Khakassia Republic,8.68,534262,534.262,Хакасия,18,29787,4.9,17.8,29310.74,0.06,1.39,5.24,1.78,0.625,44.4349
Khanty-Mansiysk,3.13,1674676,1674.676,Ханты-Мансийский автономный округ,24,60570,3.3,12.6,160695.99,0.09,0.57,2.47,1.88,0.281,63.547
Kirov region,10.49,1262402,1262.402,Кировская область,17,25074,5.3,16,19341.84,0.1,0.82,1.7,1.7,0.719,44.2305
Komi Republic,1.97,633385,633.385,Республика Коми,18,42940,7.8,17.1,55046.14,0.05,0.99,2.28,1.78,0.362,50.6579
Kostroma region,10.52,5675462,5675.462,Костромская область,18,24172,5.3,13,21274.89,0.02,0.45,2.13,1.7,0.629,41.7605
Krasnodar region,75.19,2866255,2866.255,Краснодарский край,20,29887,5.7,11.6,31531.38,0.04,0.5,1.81,1.72,0.364,42.8266
Krasnoyarsk region,1.21,827166,827.166,Красноярский край,20,38351,5.7,18.7,53189.65,0.05,1,2.64,1.67,0.606,44.719
Kurgan region,11.57,1104008,1104.008,Курганская область,15,24717,9.1,19.3,19401.25,0.06,1.22,1.99,1.88,0.378,40.2268
Kursk region,36.8,1875872,1875.872,Курская область,19,26521,4.1,10.1,28074.44,0.03,0.35,2.73,1.46,0.436,33.9187
Leningrad region,22.36,1139371,1139.371,Ленинградская область,21,42076,5.7,10.3,44303.72,0.01,0.79,0.85,1.22,0.315,51.0667
Lipetsk region,47.38,140149,140.149,Липецкая область,20,28557,3.9,9,35078.74,0.06,0.39,1.39,1.54,0.271,35.3718
Magadan Region,0.3,140149,140.149,Магаданская область,23,69316,5.3,13.4,86580.36,0.21,2.2,3.09,1.6,0.192,60.5928
Mari El Republic,29.07,679417,679.417,Марий Эл,19,23739,6.1,22.8,20177.01,0,0.72,1.31,1.75,0.834,36.0132
Mordovia Republic,30.24,790197,790.197,Мордовия,21,24052,4.2,18.9,21162.01,0.12,0.56,1.51,1.26,0.244,39.9834
Moscow,4950.43,12678079,12678.079,Москва,40,66103,1.4,8.9,100018.5,0.08,0.25,0.66,1.38,1.538,57.3856
Moscow region,173.5,7690863,7690.863,Московская область,30,45201,3.2,8.1,42012.45,0.02,0.57,1.31,1.61,0.503,50.7064
Murmansk region,5.12,741404,741.404,Мурманская область,22,49589,7,12.6,48183.88,0.07,0.59,2.19,1.56,0.513,60.6225
Nenets Autonomous Okrug,0.25,44111,44.111,Ненецкий автономный округ,16,71303,8,11.4,502634.49,0,1.14,2.28,2.35,0.435,52.6971
